Date,Close,Open,High,Low,Change %,Log_Returns
26-04-2010,1.8311,1.8288,1.8342,1.8177,-0.21%,-0.01286156
27-04-2010,1.8077,1.83,1.8343,1.8071,-1.28%,0.003258501
28-04-2010,1.8136,1.807,1.8215,1.8039,0.33%,-0.001158589
29-04-2010,1.8115,1.8122,1.817,1.8065,-0.12%,0.006163687
30-04-2010,1.8227,1.8128,1.8259,1.8086,0.62%,-0.008152968
03-05-2010,1.8079,1.8282,1.8287,1.8034,-0.81%,-0.008108453
04-05-2010,1.7933,1.807,1.8113,1.7915,-0.81%,-0.004975274
05-05-2010,1.7844,1.7909,1.7979,1.7796,-0.50%,-0.005338141
06-05-2010,1.7749,1.7856,1.7893,1.758,-0.53%,0.003543211
07-05-2010,1.7812,1.7714,1.7865,1.7635,0.35%,-0.008910001
10-05-2010,1.7654,1.7902,1.8019,1.7615,-0.89%,-0.00967621
11-05-2010,1.7484,1.766,1.7689,1.7453,-0.96%,-0.003896853
12-05-2010,1.7416,1.7464,1.7588,1.7393,-0.39%,-0.005007925
13-05-2010,1.7329,1.7409,1.7481,1.7301,-0.50%,-0.009916862
14-05-2010,1.7158,1.7309,1.7362,1.713,-0.99%,0.003665032
17-05-2010,1.7221,1.714,1.7239,1.6957,0.37%,-0.012857403
18-05-2010,1.7001,1.7209,1.7252,1.6957,-1.28%,0.020838938
19-05-2010,1.7359,1.7001,1.7382,1.696,2.11%,0.011683313
20-05-2010,1.7563,1.7347,1.7714,1.7238,1.18%,0.006243635
21-05-2010,1.7673,1.7571,1.7872,1.755,0.63%,-0.015797756
24-05-2010,1.7396,1.7638,1.768,1.737,-1.57%,0.004302069
25-05-2010,1.7471,1.738,1.7488,1.7266,0.43%,-0.017320449
26-05-2010,1.7171,1.7459,1.7505,1.713,-1.72%,0.009101776
27-05-2010,1.7328,1.7193,1.7381,1.7166,0.91%,-0.003294896
28-05-2010,1.7271,1.7312,1.7429,1.7212,-0.33%,-0.00318961
31-05-2010,1.7216,1.726,1.7308,1.7143,-0.32%,0.003305405
01-06-2010,1.7273,1.7218,1.7374,1.7121,0.33%,-0.004525945
02-06-2010,1.7195,1.7239,1.7317,1.7164,-0.45%,-0.005189365
03-06-2010,1.7106,1.719,1.7277,1.7089,-0.52%,-0.010164898
04-06-2010,1.6933,1.7114,1.7138,1.6888,-1.01%,-0.002187473
07-06-2010,1.6896,1.6877,1.6981,1.6851,-0.22%,0.002364626
08-06-2010,1.6936,1.6887,1.7009,1.6844,0.24%,0.001534014
09-06-2010,1.6962,1.692,1.7051,1.6878,0.15%,0.001355054
10-06-2010,1.6985,1.694,1.7053,1.6913,0.14%,-0.000412213
11-06-2010,1.6978,1.6984,1.7062,1.6903,-0.04%,0.005228386
14-06-2010,1.7067,1.699,1.7152,1.6973,0.52%,0.004384818
15-06-2010,1.7142,1.7049,1.7217,1.702,0.44%,0.000116666
16-06-2010,1.7144,1.7135,1.7204,1.7104,0.01%,0.005293942
17-06-2010,1.7235,1.713,1.7279,1.7107,0.53%,-0.004535946
18-06-2010,1.7157,1.7219,1.7268,1.7077,-0.45%,-0.012433449
21-06-2010,1.6945,1.7035,1.7152,1.6933,-1.24%,0.002887536
22-06-2010,1.6994,1.6969,1.7048,1.6927,0.29%,0.006101157
23-06-2010,1.7098,1.698,1.7142,1.6966,0.61%,0.004376885
24-06-2010,1.7173,1.7085,1.7237,1.7049,0.44%,-0.000465956
25-06-2010,1.7165,1.7172,1.7227,1.7075,-0.05%,-0.008600819
28-06-2010,1.7018,1.7154,1.718,1.6986,-0.86%,0.004163374
29-06-2010,1.7089,1.6997,1.7122,1.6986,0.42%,0.002046007
30-06-2010,1.7124,1.7082,1.7176,1.6966,0.20%,0.018801352
01-07-2010,1.7449,1.7116,1.7481,1.7066,1.90%,0.00251846
02-07-2010,1.7493,1.7458,1.7561,1.737,0.25%,-0.001830978
05-07-2010,1.7461,1.747,1.751,1.7416,-0.18%,0.002231058
06-07-2010,1.75,1.7445,1.7544,1.7423,0.22%,-0.000914704
07-07-2010,1.7484,1.7491,1.7544,1.7447,-0.09%,0.001714384
08-07-2010,1.7514,1.7469,1.7545,1.7458,0.17%,-0.003145286
09-07-2010,1.7459,1.75,1.7529,1.7414,-0.31%,-0.003097754
12-07-2010,1.7405,1.7441,1.7477,1.7344,-0.31%,0.00584328
13-07-2010,1.7507,1.74,1.7528,1.733,0.59%,0.000171345
14-07-2010,1.751,1.7491,1.7551,1.7448,0.02%,0.014852039
15-07-2010,1.7772,1.7494,1.7795,1.7485,1.50%,0.001742797
16-07-2010,1.7803,1.7747,1.7911,1.7725,0.17%,0.00095444
19-07-2010,1.782,1.7773,1.7902,1.776,0.10%,-0.006304907
20-07-2010,1.7708,1.7825,1.7871,1.7661,-0.63%,-0.006685956
21-07-2010,1.759,1.77,1.7729,1.7552,-0.67%,0.006008067
22-07-2010,1.7696,1.7573,1.7746,1.7519,0.60%,-0.000508719
23-07-2010,1.7687,1.7673,1.7776,1.756,-0.05%,-0.00096162
26-07-2010,1.767,1.7679,1.7715,1.7598,-0.10%,0.002091755
27-07-2010,1.7707,1.7673,1.7747,1.7645,0.21%,0.003495324
28-07-2010,1.7769,1.7707,1.7805,1.7671,0.35%,0.003370979
29-07-2010,1.7829,1.7753,1.7853,1.7727,0.34%,-0.004553512
30-07-2010,1.7748,1.7821,1.7838,1.7675,-0.45%,0.002026343
02-08-2010,1.7784,1.7755,1.7833,1.7665,0.20%,0.004208406
03-08-2010,1.7859,1.7772,1.791,1.7757,0.42%,-0.003477679
04-08-2010,1.7797,1.7859,1.7902,1.7753,-0.35%,0.003421683
05-08-2010,1.7858,1.7788,1.7896,1.7742,0.34%,0.00167851
06-08-2010,1.7888,1.7845,1.7979,1.7767,0.17%,-0.002518823
09-08-2010,1.7843,1.7899,1.7926,1.781,-0.25%,0.000448255
10-08-2010,1.7851,1.7825,1.787,1.7732,0.04%,-0.01814583
11-08-2010,1.753,1.7834,1.7861,1.7515,-1.80%,-0.003657565
12-08-2010,1.7466,1.7543,1.7603,1.7408,-0.37%,-0.004820946
13-08-2010,1.7382,1.7464,1.7529,1.7355,-0.48%,0.004305526
16-08-2010,1.7457,1.7389,1.7528,1.7375,0.43%,-0.000802292
17-08-2010,1.7443,1.7451,1.7491,1.7387,-0.08%,-0.003503234
18-08-2010,1.7382,1.7441,1.7477,1.7341,-0.35%,-0.000920916
19-08-2010,1.7366,1.7371,1.7441,1.7286,-0.09%,-0.007630095
20-08-2010,1.7234,1.7356,1.7387,1.7204,-0.76%,-0.002963654
23-08-2010,1.7183,1.7257,1.7279,1.7158,-0.30%,0.000290943
24-08-2010,1.7188,1.7159,1.7288,1.7134,0.03%,0.000290858
25-08-2010,1.7193,1.7192,1.7266,1.7147,0.03%,0.002787944
26-08-2010,1.7241,1.719,1.7299,1.717,0.28%,0.001796425
